story,season,primary_colour,exclusive,garment_pattern,print_pattern_type,number_of_components,number_of_pockets,pocket_type,neck,collar,placket,length,sleeve_length,sleeve_type,hemline,waist_rise,footwear_ankle_type,closure,footwear_insole,fabric_story,fabric_weave_pattern,wash_care,footwear_upper_material,footwear_sole_material,fabric_composition,denim_cast,color_family
,,Light Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Pink Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Pista,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Pista Print,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Purple,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Tan,,,,,,,,,,,,,,,,,,,,,,,,,
,,Light Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lilac,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lilac Hint,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lily Pad,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lime Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Limoges,,,,,,,,,,,,,,,,,,,,,,,,,
,,Live Camo,,,,,,,,,,,,,,,,,,,,,,,,,
,,London Fog,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lotus,,,,,,,,,,,,,,,,,,,,,,,,,
,,Luscious Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magenta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magenta Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Magnetic Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Malachite,,,,,,,,,,,,,,,,,,,,,,,,,
,,Malibu Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marine Teal,,,,,,,,,,,,,,,,,,,,,,,,,
,,Maroon,,,,,,,,,,,,,,,,,,,,,,,,,
,,Maroon Checks,,,,,,,,,,,,,,,,,,,,,,,,,
,,Maroon Navy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Maroon Ombre,,,,,,,,,,,,,,,,,,,,,,,,,
,,Maroon Print,,,,,,,,,,,,,,,,,,,,,,,,,
,,Matt Gold,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mauve,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mauve Shadows,,,,,,,,,,,,,,,,,,,,,,,,,
,,Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mellow Peach,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mellow Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Melon Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Meringue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Midnight Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Midnight Navy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Military Camo,,,,,,,,,,,,,,,,,,,,,,,,,
,,Military Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mimosa,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mindful Mauve,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mint Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mood Indigo,,,,,,,,,,,,,,,,,,,,,,,,,
,,Moonlight Ocean,,,,,,,,,,,,,,,,,,,,,,,,,
,,Moroccon Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Morroccan Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ms Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Multicolor,,,,,,,,,,,,,,,,,,,,,,,,,
,,Murky Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mustard Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Natural Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Black,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Brushed,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Checks,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Floral,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Grindle,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Loop,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Multicolor,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Mustard,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Ombre,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Pique,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Pista,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Print,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Stripes,,,,,,,,,,,,,,,,,,,,,,,,,
,,Navy Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neon Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neon Orange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neon Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neon Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neutral Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nile Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nude,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nutshell,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oat Meal,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oat Milk,,,,,,,,,,,,,,,,,,,,,,,,,
,,Off White,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oil Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive Brown,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive Camo,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive Checks,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olive oil,,,,,,,,,,,,,,,,,,,,,,,,,
,,Onion Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Optic White,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orange Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orchid Hush,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orchid Petal,,,,,,,,,,,,,,,,,,,,,,,,,
,,Outer Space,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oxford Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oxford Tan,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oxidised Orange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Blush,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Khaki,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pale Rosette,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pansy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Parchment,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pastel Beige,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pastel Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pastel Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pastel Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peach,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peacock Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peacock Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peacot Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pearl Blush,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peony,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pepper Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pesto,,,,,,,,,,,,,,,,,,,,,,,,,
,,Petrol Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pickled Beet,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pine,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pink Cyclamen,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pink Diamond,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pink Floral,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pink Lavender,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pink Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pista Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pista Printed,,,,,,,,,,,,,,,,,,,,,,,,,
,,Platinum Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Plum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Powder Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primerose Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pristine,,,,,,,,,,,,,,,,,,,,,,,,,
,,Prussian Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Purple,,,,,,,,,,,,,,,,,,,,,,,,,
,,Purple Checks,,,,,,,,,,,,,,,,,,,,,,,,,
,,Purple Ombre,,,,,,,,,,,,,,,,,,,,,,,,,
,,Purple Prints,,,,,,,,,,,,,,,,,,,,,,,,,
,,Purple wine,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quartz Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Radiant Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rag Black,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rag Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rag Blue Checks,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rag Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raspberry Wine,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raw Black,,,,,,,,,,,,,,,,,,,,,,,,,
,,Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Red Camo,,,,,,,,,,,,,,,,,,,,,,,,,
,,Red Checks,,,,,,,,,,,,,,,,,,,,,,,,,
,,Red Maple,,,,,,,,,,,,,,,,,,,,,,,,,
,,Red Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Red Striper,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rinse Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rooibos,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rose,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rose Cloud,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rose Dawn,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rose Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rose Smoke,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rose Tan,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rosewood,,,,,,,,,,,,,,,,,,,,,,,,,
,,Royal Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Royal Blue Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ruby Wine,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rumba Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rust,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rust Camo,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rust Orange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rust Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rustic Brown,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rusty Beige,,,,,,,,,,,,,,,,,,,,,,,,,
,,Safety Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sage,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sage Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sage Leaf,,,,,,,,,,,,,,,,,,,,,,,,,
,,Salmon Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Saltwater Slide,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sand,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sandshell,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sap Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scarlet,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scuba Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sea Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sea Blue Print,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sea Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sea Kelp,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seaweed,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sepia,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shadow Lime,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shrinking Violet,,,,,,,,,,,,,,,,,,,,,,,,,
,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,
,,Silver Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Silver Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Silver Pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sky Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sky Print,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slate Rose,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slub Beige,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slub Black,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slub Brown,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slub Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slub Maroon,,,,,,,,,,,,,,,,,,,,,,,,,
,,Slub Navy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Smoke Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Snow White,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sodalite Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Soft pink,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spruced Up,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ss Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Star White,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steel Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Steel Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stone,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stone Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Storm Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stormy Weather,,,,,,,,,,,,,,,,,,,,,,,,,
,,Strawberry,,,,,,,,,,,,,,,,,,,,,,,,,
,,Striper Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Striper Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sundial Orange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sunkist Coral,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sunny Lime,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sunny Slime,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sunset Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sunshine Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Super Lemon,,,,,,,,,,,,,,,,,,,,,,,,,
,,Surf Spray,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tahitian Teal,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tan Brown,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taupe,,,,,,,,,,,,,,,,,,,,,,,,,
,,Teak,,,,,,,,,,,,,,,,,,,,,,,,,
,,Teal,,,,,,,,,,,,,,,,,,,,,,,,,
,,Teal Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Teal Camo,,,,,,,,,,,,,,,,,,,,,,,,,
,,Teal Checks,,,,,,,,,,,,,,,,,,,,,,,,,
,,Teal Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Teal Green Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Teal Pique,,,,,,,,,,,,,,,,,,,,,,,,,
,,Terracotta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Textured Black,,,,,,,,,,,,,,,,,,,,,,,,,
,,Textured Navy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tibatan Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tilt Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Titanite,,,,,,,,,,,,,,,,,,,,,,,,,
,,Titanium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Toffee,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tofu,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tomato Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tranquil Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,True Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Turkish Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Turquoise,,,,,,,,,,,,,,,,,,,,,,,,,
,,Turquoise Melange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Turquoise Sea,,,,,,,,,,,,,,,,,,,,,,,,,
,,Twilight,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ultramarine,,,,,,,,,,,,,,,,,,,,,,,,,
,,Umber Brown,,,,,,,,,,,,,,,,,,,,,,,,,
,,Unbleached Cotton,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vanilla Ice,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vermillion Orange,,,,,,,,,,,,,,,,,,,,,,,,,
,,Very Peri,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vetiver,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vintage Blue,,,,,,,,,,,,,,,,,,,,,,,,,
,,Violet,,,,,,,,,,,,,,,,,,,,,,,,,
,,Viva Magenta,,,,,,,,,,,,,,,,,,,,,,,,,
,,Warm Taupe,,,,,,,,,,,,,,,,,,,,,,,,,
,,Washed Black,,,,,,,,,,,,,,,,,,,,,,,,,
,,Washed Navy,,,,,,,,,,,,,,,,,,,,,,,,,
,,White,,,,,,,,,,,,,,,,,,,,,,,,,
,,White Ckecks,,,,,,,,,,,,,,,,,,,,,,,,,
,,White Floral,,,,,,,,,,,,,,,,,,,,,,,,,
,,White Navy,,,,,,,,,,,,,,,,,,,,,,,,,
,,White Print,,,,,,,,,,,,,,,,,,,,,,,,,
,,White Sand,,,,,,,,,,,,,,,,,,,,,,,,,
,,Whitecap Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Whole Grain,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wholegrain,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wild Rose,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wine Red,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wisteria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wood Ash,,,,,,,,,,,,,,,,,,,,,,,,,
,,Woodland Grey,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yellow Checks,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yellow Floral,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yellow Green,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yellow Melange,,,,,,,,,,,,,,,,,,,,,,,,,
